year_month,area_name_en,property_type_en,avg_meter_price,avg_actual_worth,avg_area,transactions_count,hotels,rooms,POIs,occupancy_rate,tourism_intensity,occupancy_rate_adjusted,tourism_activity
2015-01,abu hail,Building,8987.42,1500000.0,166.9,1,48,3770,138,0.585,0.8811619342607183,0.5571918926170081,28.764879942496187
2015-01,abu hail,Land,6772.56,3850000.0,568.47,1,48,3770,138,0.585,0.8811619342607183,0.5571918926170081,28.764879942496187
2015-01,abu hail,Villa,6404.26,1800000.0,428.12,4,48,3770,138,0.585,0.8811619342607183,0.5571918926170081,28.764879942496187
2015-01,al aweer first,Building,538.2,6000000.0,11148.36,1,44,2174,132,0.688,0.7914369891936641,0.6306034594260963,33.69453237650387
2015-01,al aweer second,Building,269.1,500000.0,1858.04,1,68,5588,82,0.685,0.916923633481644,0.6622370755739705,47.658794616862906
2015-01,al bada,Villa,10851.2,47000000.0,4331.32,1,89,4586,90,0.661,0.8539260108628898,0.6223780372721481,48.784868175119904
2015-01,al baraha,Building,30329.22,20000000.0,659.43,1,135,11470,156,0.654,0.8887380368507919,0.6248938704401672,73.38991994212064
2015-01,al barsha first,Land,26910.0,87633225.0,3256.53,1,131,6705,125,0.553,0.8562249259719257,0.52119695362499,47.16283570641453
2015-01,al barsha second,Building,5296.179999999999,12935000.0,1950.78,2,107,6691,105,0.658,0.8784200582041728,0.6260001593193383,57.99922785714813
2015-01,al barsha second,Land,5701.99,8000000.0,1403.02,1,107,6691,105,0.658,0.8784200582041728,0.6260001593193383,57.99922785714813
2015-01,al barsha second,Villa,6287.568,6812023.2,1207.742,5,107,6691,105,0.658,0.8784200582041728,0.6260001593193383,57.99922785714813
2015-01,al barsha south fifth,Land,2623.0925,1364500.0,521.0125,4,100,7081,171,0.595,0.8640615008032484,0.5626466371911731,52.1845596022645
2015-01,al barsha south fifth,Unit,11356.478846153846,786561.4807692308,68.61711538461539,52,100,7081,171,0.595,0.8640615008032484,0.5626466371911731,52.1845596022645
2015-01,al barsha south fifth,Villa,4876.425454545454,2118314.227272727,526.226590909091,44,100,7081,171,0.595,0.8640615008032484,0.5626466371911731,52.1845596022645
2015-01,al barsha south fourth,Building,3533.143333333333,10214366.666666666,2973.1633333333334,3,123,10314,100,0.758,0.8806478831635248,0.7218124381751807,82.02227673990605
2015-01,al barsha south fourth,Land,7347.754285714285,19361918.64285714,3854.545,14,123,10314,100,0.758,0.8806478831635248,0.7218124381751807,82.02227673990605
2015-01,al barsha south fourth,Unit,9349.6032,813548.78,89.3785,200,123,10314,100,0.758,0.8806478831635248,0.7218124381751807,82.02227673990605
2015-01,al barsha south fourth,Villa,9651.86625,1994374.84375,271.656875,32,123,10314,100,0.758,0.8806478831635248,0.7218124381751807,82.02227673990605
2015-01,al barsha third,Building,3561.26,4962790.0,1393.55,1,67,4651,99,0.544,0.845854365365985,0.5104579099036384,28.68030422999077
2015-01,al barsha third,Land,8611.215,12486600.0,1945.71,2,67,4651,99,0.544,0.845854365365985,0.5104579099036384,28.68030422999077
2015-01,al barsha third,Villa,2258.6,2353333.333333333,1246.79,3,67,4651,99,0.544,0.845854365365985,0.5104579099036384,28.68030422999077
2015-01,al barshaa south first,Building,640.46,750000.0,1171.04,1,126,7288,120,0.753,0.868771217870123,0.7134738908224811,79.45167761998869
2015-01,al barshaa south first,Villa,1242.1845977011494,1087955.6781609196,894.2910344827585,87,126,7288,120,0.753,0.868771217870123,0.7134738908224811,79.45167761998869
2015-01,al barshaa south second,Building,2249.7833333333333,1615794.6666666667,747.85,3,97,7422,176,0.693,0.8891984682767912,0.6622858154063265,68.03643419094166
2015-01,al barshaa south second,Land,776.06,750000.0,969.74,2,97,7422,176,0.693,0.8891984682767912,0.6622858154063265,68.03643419094166
2015-01,al barshaa south second,Unit,12707.455714285714,1164849.380952381,92.2190476190476,21,97,7422,176,0.693,0.8891984682767912,0.6622858154063265,68.03643419094166
2015-01,al barshaa south second,Villa,9276.006470588236,3398970.588235294,446.9879411764706,34,97,7422,176,0.693,0.8891984682767912,0.6622858154063265,68.03643419094166
2015-01,al barshaa south third,Unit,11844.686470588236,593029.6470588235,50.81647058823529,68,130,10130,134,0.573,0.8910927692537651,0.5480384627129629,55.34400875159572
2015-01,al dhagaya,Building,58298.23666666666,13866666.666666666,221.05,3,68,5196,97,0.651,0.8938580058514431,0.6233606247237158,44.02230863273546
2015-01,al dhagaya,Land,19523.62,1500000.0,76.83,1,68,5196,97,0.651,0.8938580058514431,0.6233606247237158,44.02230863273546
2015-01,al garhoud,Villa,10084.55,19000000.0,1884.07,1,63,2749,104,0.6,0.8755537378882604,0.5701328970931825,30.45968803846133
2015-01,al goze first,Building,14827.29,51100270.0,10438.05,2,42,2685,177,0.598,0.827411269233981,0.5567167756007683,26.657951040724345
2015-01,al goze first,Land,2690.98,2500000.0,929.03,1,42,2685,177,0.598,0.827411269233981,0.5567167756007683,26.657951040724345
2015-01,al goze first,Villa,3295.07,3000000.0,910.45,1,42,2685,177,0.598,0.827411269233981,0.5567167756007683,26.657951040724345
2015-01,al goze fourth,Unit,8306.853116883116,771746.1948051949,95.05376623376624,77,128,10310,148,0.584,0.9010914907829009,0.5608949722468856,58.1093784162326
2015-01,al goze second,Building,1184.605,1110000.0,941.06,2,124,5949,63,0.637,0.8439720995700513,0.5972440909704491,50.94473459558293
2015-01,al goze second,Villa,1139.85,1052000.0,1100.513333333333,3,124,5949,63,0.637,0.8439720995700513,0.5972440909704491,50.94473459558293
2015-01,al hebiah fifth,Unit,8831.882736842104,978446.3894736842,116.4882105263158,95,107,4713,172,0.633,0.860293647568627,0.5976263515643764,55.073644209016656
2015-01,al hebiah first,Unit,9027.241538461538,1424620.326923077,160.27192307692306,52,97,5711,171,0.661,0.8712599968241833,0.626961143160314,59.50753843808254
2015-01,al hebiah first,Villa,5684.4075,4174375.0,750.5675,4,97,5711,171,0.661,0.8712599968241833,0.626961143160314,59.50753843808254
2015-01,al hebiah fourth,Unit,10396.981623376623,845158.3214285715,85.76558441558441,308,73,5367,60,0.627,0.8247428357016767,0.5830455031939805,37.97636171913023
2015-01,al hebiah fourth,Villa,8204.119,4042093.4,589.0865,20,73,5367,60,0.627,0.8247428357016767,0.5830455031939805,37.97636171913023
2015-01,al hebiah third,Land,6659.577820512821,2857276.076923077,482.5917948717949,78,59,2699,105,0.586,0.80506553549728,0.5403073615205624,27.538723673129955
2015-01,al hebiah third,Unit,16548.47880952381,1014441.6666666666,61.68595238095238,42,59,2699,105,0.586,0.80506553549728,0.5403073615205624,27.538723673129955
2015-01,al hebiah third,Villa,9292.752903225808,3301881.6129032257,361.36225806451614,62,59,2699,105,0.586,0.80506553549728,0.5403073615205624,27.538723673129955
2015-01,al jadaf,Building,16145.88,14538375.0,900.4399999999999,2,80,6597,78,0.556,0.8731858416499776,0.5277965311829551,34.399264605050355
2015-01,al jadaf,Land,23680.62,25577200.0,1080.09,1,80,6597,78,0.556,0.8731858416499776,0.5277965311829551,34.399264605050355
2015-01,al jadaf,Unit,17708.105,1825522.4,100.465,10,80,6597,78,0.556,0.8731858416499776,0.5277965311829551,34.399264605050355
2015-01,al jafliya,Villa,4228.57,1100021.0,260.14,1,54,4633,151,0.641,0.9003324036711757,0.6154452283012894,40.75011065552713
2015-01,al karama,Building,35523.015,59430000.0,1673.0,2,49,1949,67,0.612,0.7912952032189894,0.5609090657480086,21.19263673952054
2015-01,al khabeesi,Building,5255.63,13000000.0,2473.54,2,104,4267,98,0.608,0.8762914426362377,0.577914078849133,44.37392914487331
2015-01,al khawaneej first,Building,1865.09,2125000.0,1193.665,2,100,5650,163,0.686,0.8505534703033246,0.6449918722512323,63.456869705589725
2015-01,al khawaneej first,Villa,3238.0,4566666.666666667,1226.5066666666664,3,100,5650,163,0.686,0.8505534703033246,0.6449918722512323,63.456869705589725
2015-01,al khawaneej second,Building,788.0616666666666,900439.8333333334,1155.9916666666666,6,134,8174,91,0.675,0.8725797760377816,0.640596539530201,66.31741403426246
2015-01,al khawaneej second,Villa,1205.114,995330.0,1022.994,5,134,8174,91,0.675,0.8725797760377816,0.640596539530201,66.31741403426246
2015-01,al kheeran,Unit,14885.8275,2843500.0,191.4,4,134,8035,108,0.627,0.8844182177931899,0.598012089022532,60.23092328363611
2015-01,al mamzer,Building,7973.27,20000000.0,2508.38,1,54,4562,111,0.589,0.8938954292468546,0.5640017631305589,31.43951824571059
2015-01,al mamzer,Villa,8471.62,8500000.0,1003.35,1,54,4562,111,0.589,0.8938954292468546,0.5640017631305589,31.43951824571059
2015-01,al manara,Villa,9716.895,10200000.0,1144.335,2,139,7785,97,0.649,0.8822107123866851,0.6184219009355835,63.04485866377701
2015-01,al mararr,Building,36089.865000000005,10420000.0,258.13,4,91,7327,92,0.71,0.8926190076752282,0.6795037981797648,61.83284556506096
2015-01,al mezhar first,Building,430.56,800000.0,1858.06,1,103,5304,145,0.62,0.8801695077051317,0.5902820379108726,52.01054713048974
2015-01,al mezhar second,Building,3240.16,2950000.0,910.45,1,102,6791,95,0.695,0.8863526845756053,0.6634060463120183,61.64794609075533
2015-01,al murqabat,Building,26269.54333333333,52666666.66666666,2533.66,3,78,5329,129,0.719,0.872387002400021,0.682298501890246,59.504043245128265
2015-01,al muteena,Building,19969.673333333336,15164236.666666666,524.41,3,123,10319,101,0.687,0.8708620304052532,0.6515128859553636,70.43482526714882
2015-01,al nahda second,Building,17472.305,31750000.0,1770.405,2,96,5740,165,0.642,0.8614008680074376,0.60640774290431,56.05169785501253
2015-01,al qusais first,Building,15108.79,23166666.666666668,5656.433333333333,3,99,6170,79,0.72,0.8744804633803013,0.6838503734535267,61.40040371844685
2015-01,al qusais third,Villa,2015.743333333333,1551397.6666666667,1027.63,3,60,4209,73,0.762,0.8824955878316733,0.7261846551710941,50.46249222872385
2015-01,al raffa,Building,20364.224,24370800.0,1131.208,5,99,5525,128,0.621,0.8821726976540829,0.5917316980972742,50.62366845036518
2015-01,al raffa,Land,10763.92,24568000.0,2282.44,2,99,5525,128,0.621,0.8821726976540829,0.5917316980972742,50.62366845036518
2015-01,al rashidiya,Building,3139.86,1050000.0,334.41,1,63,4990,178,0.67,0.8581893691193704,0.6319947509239913,50.13241876823832
2015-01,al rashidiya,Villa,3414.07,3850000.0,1129.47,2,63,4990,178,0.67,0.8581893691193704,0.6319947509239913,50.13241876823832
2015-01,al rega,Building,45363.885,52500000.0,1526.7199999999998,2,127,9633,83,0.689,0.9488403899443542,0.674900411468664,68.24993971392965
2015-01,al rowaiyah first,Land,22604.57,27690600.0,1225.0,1,137,5820,147,0.606,0.9696385809239922,0.5986403920159757,56.725171730051386
2015-01,al ruwayyah,Land,2935.9266666666667,5555204.5,1900.1683333333333,6,130,10461,112,0.645,0.9698000894305306,0.6372084230730769,66.0587946103166
2015-01,al saffa second,Land,29870.575,42565725.0,1425.005,2,113,5525,118,0.602,0.8737172966975932,0.5715911250447805,49.56290436118184
2015-01,al saffa second,Villa,5417.82,7550000.0,1393.55,1,113,5525,118,0.602,0.8737172966975932,0.5715911250447805,49.56290436118184
